Latitude,Longitude,Distance
35.7078,-119.6228,0
35.69753507,-119.5843053,2.748948564
35.70540361,-119.6066134,1.129048317
35.72181162,-119.6518383,2.224699416
35.70743789,-119.6312932,0.58656206
35.6931432,-119.5921791,2.34240635
35.71545184,-119.6033218,1.443981851
35.70429984,-119.647075,1.69229484
35.70686225,-119.6235436,0.082577056
35.71177838,-119.6315712,0.6645592
35.68998054,-119.5839006,2.952276796
35.6943685,-119.5806292,3.053809118
35.70582451,-119.590014,2.266333834
35.71141683,-119.6063697,1.160833255
35.7221789,-119.6316593,1.165344711
35.69816726,-119.6290168,0.791061125
35.70828438,-119.6005972,1.532360686
35.71177026,-119.6217602,0.283187148
35.69018292,-119.6440727,1.905811092
35.70079116,-119.6168581,0.634010171
35.70671576,-119.5966999,1.80246164
35.71187997,-119.595168,1.927281862
35.72429845,-119.6513169,2.273248591
35.71874596,-119.6446246,1.684682358
35.70687301,-119.6184612,0.306136324
35.69837265,-119.6010331,1.636733097
35.72335643,-119.5854792,2.789892625
35.7170008,-119.6361959,1.121341381
35.72522425,-119.633516,1.411445259
35.69527378,-119.5974685,1.949892765
35.70883659,-119.5859517,2.543537454
35.71277239,-119.6043289,1.319880807
35.70863888,-119.6490398,1.811474032
35.71052341,-119.6215379,0.207113801
35.72175646,-119.5920592,2.329485542
35.6920653,-119.6268496,1.121075915
35.69994677,-119.6482919,1.840517216
35.70748069,-119.6111649,0.803124995
35.69036433,-119.6308881,1.326199722
35.71156619,-119.6266887,0.373532272
35.70089129,-119.6042459,1.366105126
35.6975796,-119.5969127,1.920391979
35.70875765,-119.6115852,0.776639521
35.72386427,-119.6392781,1.587881801
35.72443835,-119.6460355,1.971905926
35.71123669,-119.6108939,0.85506213
35.69085575,-119.5905647,2.512793564
35.7249168,-119.5889077,2.619887952
35.7215574,-119.6182114,1.000668572
35.70748379,-119.6024879,1.401701565
35.69241398,-119.6036432,1.695368836
35.72005351,-119.5813734,2.980854016
35.68938543,-119.6185264,1.304374366
35.70634329,-119.6208749,0.166575679
35.71134721,-119.5852569,2.602012267
35.70481786,-119.6260584,0.304778723
35.70868807,-119.5992562,1.625675399
35.71769321,-119.6447413,1.660733089
35.69772203,-119.6218213,0.698651129
35.71183526,-119.5961987,1.856488786
35.70494813,-119.5889554,2.343553598
35.71924131,-119.5880197,2.526354559
35.72350864,-119.5840189,2.887086019
35.70055058,-119.5833024,2.770857277
35.70624348,-119.6027602,1.386913357
35.69815754,-119.6114291,1.028712274
35.70236093,-119.6505382,1.950383833
35.70045837,-119.6449908,1.612789887
35.70634152,-119.6151276,0.538876446
35.71257443,-119.6314063,0.679094121
35.71083891,-119.6292519,0.492091491
35.69758514,-119.6049933,1.41647183
35.69904298,-119.5829383,2.816043761
35.70414463,-119.5861797,2.539359007
35.69584486,-119.6124836,1.08957493
35.71912281,-119.5887809,2.473923392
35.71163949,-119.6337722,0.802096564
35.72388105,-119.6210079,1.116461345
35.69768767,-119.6217254,0.701679088
35.6918224,-119.6248653,1.111626733
35.7133129,-119.6318349,0.730297282
35.69987886,-119.650126,1.963115242
35.69164035,-119.592158,2.390293822
35.71168408,-119.6124037,0.765774969
35.70212105,-119.5968546,1.832612741
35.71581639,-119.6063906,1.260132211
35.69522242,-119.593795,2.181412594
35.69028035,-119.624216,1.212797729
35.70406485,-119.5840379,2.686976606
35.72353836,-119.6203067,1.099489306
35.69031302,-119.5903405,2.544047221
35.69347721,-119.6494138,2.085393732
35.71951778,-119.6524693,2.201059003
35.71813516,-119.5875897,2.532011587
35.69685964,-119.5979712,1.872124584
35.72469032,-119.5949964,2.244701494
35.72501323,-119.6285402,1.2520121
35.69398643,-119.630324,1.085354898
35.72300149,-119.6101257,1.365646269
35.69903913,-119.6098872,1.07669211
35.69963563,-119.6397416,1.297632068
35.717934,-119.651317,2.088224606
35.717329,-119.650887,2.04650023
35.71732,-119.651511,2.087123881
35.717271,-119.651652,2.09530375
35.717165,-119.651788,2.101961723
35.717033,-119.65187,2.104571475
35.716312,-119.652153,2.108797088
35.716135,-119.652255,2.112199493
35.715939,-119.652338,2.114077988
35.715787,-119.652628,2.130638835
35.715607,-119.6527,2.132266631
35.715351,-119.652696,2.127605145
35.715267,-119.65272,2.127799899
35.714913,-119.652696,2.120406695
35.714473,-119.6527,2.113855208
35.714425,-119.652648,2.109633367
35.714315,-119.652606,2.105170506
35.714043,-119.652562,2.098271386
35.713787,-119.652464,2.0880876
35.713615,-119.652324,2.076293354
35.713525,-119.652283,2.072325045
35.71333,-119.652266,2.068649524
35.713188,-119.652177,2.060824137
35.713106,-119.652096,2.054311186
35.71295,-119.651823,2.03387028
35.712879,-119.651795,2.031117016
35.712645,-119.651733,2.024174142
35.71204,-119.651811,2.023025073
35.711818,-119.651996,2.033511759
35.711591,-119.651695,2.01084126
35.711324,-119.651687,2.00797984
35.711147,-119.651756,2.011266967
35.710681,-119.652236,2.040788887
35.710638,-119.652219,2.039334432
35.71042,-119.652269,2.041381484
35.710147,-119.652521,2.057133198
35.710067,-119.652526,2.057050012
35.709975,-119.652591,2.061050104
35.709919,-119.652674,2.066484958
35.70961,-119.652829,2.075761464
35.709438,-119.652824,2.074736743
35.709317,-119.652929,2.081534483
35.709259,-119.652931,2.081474913
35.709139,-119.653006,2.086260793
35.709005,-119.652911,2.079322008
35.708874,-119.652784,2.07022278
35.708609,-119.652689,2.06309631
35.708508,-119.652728,2.06560976
